"fullName","description","createdAgo","pushedAgo","isFork","repoStars","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"clovaai/deep-text-recognition-benchmark","Text recognition (optical character recognition) with deep learning methods.",663.6,35.4,,1995,144,0.52,11.87,4.19,,1,1.32,2.17,2.4,2.76,,,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,135,234,348,450,561,667,779,883,987,1042,1141,1234,1318,1421,1555,1651,1730,1795,1872,1952,2022
"google/tangent","Source-to-Source Debuggable Derivatives in Pure Python",1187.1,31.8,,2141,151,0.55,11.6,4.19,,,0.13,0.2,0.36,0.47,0.46,,1.82,1406,1456,1510,1547,1597,1632,1647,1676,1698,1716,1742,1782,1801,1831,1843,1858,1871,1881,1891,1903,1917,1932,1955,1964,1971,1985,1997,2016,2030,2044,2075,2091,2111,2122,2129,2136,2142
"NVlabs/imaginaire","NVIDIA PyTorch GAN library with distributed and mixed precision support",194.8,26.9,,1937,141,0.51,11.97,4.18,,1.14,2.3,4.14,10.5,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,52,87,1555,1696,1862,1952
"triton-inference-server/server","The Triton Inference Server provides an optimized cloud and edge inferencing solution. ",844,9.6,,1742,131,0.47,12.37,4.17,0.57,2,2.4,2.92,2.53,2.2,2.16,,2.19,0,0,0,0,0,0,0,0,0,0,26,133,167,211,265,305,355,454,594,642,735,783,834,905,943,980,1017,1089,1161,1228,1285,1359,1412,1479,1569,1672,1759
"torvalds/linux","Linux kernel source tree",3430.9,7.8,,103856,1996,7.21,3.16,4.16,3.71,30.71,42.41,51.68,54.87,54.6,52.04,42.57,30.28,51240,52279,53546,54781,55812,57107,58177,59314,60931,62164,63415,64569,65884,67194,68751,71510,73003,74319,75626,77211,78523,79761,81226,82552,83946,85270,86985,88547,90143,91832,93861,95517,97294,99159,100896,102586,104378
"Cartucho/mAP","mean Average Precision - This code evaluates the performance of your neural net for object recognition.",1054.4,12.5,,1850,136,0.49,12.09,4.16,0.71,1.43,1.55,1.68,1.77,2,1.98,,1.76,0,0,7,41,94,144,179,203,229,261,321,367,405,444,510,591,651,727,789,850,903,955,1017,1080,1123,1165,1218,1299,1365,1460,1531,1603,1653,1701,1758,1806,1874
"kpu/kenlm","KenLM: Faster and Smaller Language Model Queries",3359.2,25.9,,1402,113,0.41,13.26,4.16,,0.57,0.76,1.08,1.07,1.11,1.07,0.72,0.42,315,338,365,393,415,440,458,485,509,532,558,597,623,651,679,703,726,753,779,810,849,886,927,957,998,1012,1048,1090,1136,1175,1207,1241,1278,1302,1342,1379,1425
"hibayesian/awesome-automl-papers","A curated list of automated machine learning papers, articles, tutorials, slides and projects",1162.5,9.5,,2797,179,0.65,10.53,4.15,,0.64,1.02,1.04,1.5,1.72,2.88,,2.41,23,38,97,125,149,180,284,333,429,493,554,649,698,735,808,1001,1202,1349,1472,1649,1755,1898,2010,2096,2171,2223,2282,2336,2395,2450,2523,2587,2642,2702,2733,2766,2807
"stanfordnlp/CoreNLP","Stanford CoreNLP: A Java suite of core NLP tools.",2769,9.8,,7752,352,1.27,7.47,4.14,,1.07,1.61,2.14,2.57,2.66,2.99,3.52,2.8,4046,4155,4305,4480,4603,4734,4834,4924,5056,5161,5301,5439,5561,5727,5852,5967,6075,6175,6266,6355,6428,6507,6597,6687,6776,6846,6942,7036,7130,7218,7278,7361,7469,7552,7625,7698,7774
"kubeflow/kubeflow","Machine Learning Toolkit for Kubernetes",1152.1,8.2,,9847,413,1.49,6.9,4.14,,2.14,3.68,4,4.16,4.68,5.85,,8.55,2292,2510,2734,3007,3518,3808,4028,4185,4404,4686,4986,5206,5572,5830,6108,6320,6582,6792,7001,7179,7362,7558,7743,7910,8136,8291,8535,8683,8819,8960,9085,9233,9370,9480,9599,9732,9883
"raulmur/ORB_SLAM2","Real-Time SLAM for Monocular, Stereo and RGB-D Cameras, with Loop Detection and Relocalization Capabilities",1829.1,17.3,,5892,293,1.06,8.18,4.14,,2.07,2.3,3.31,3.23,3.47,3.81,3.2,3.22,1826,1900,2017,2134,2228,2344,2453,2546,2628,2741,2873,2999,3107,3199,3357,3496,3639,3770,3915,4024,4160,4272,4402,4523,4625,4722,4840,4935,5065,5196,5302,5403,5498,5589,5723,5821,5933
"bethgelab/foolbox","A Python toolbox to create adversarial examples that fool neural networks in PyTorch, TensorFlow, and JAX",1321.3,36.1,,1761,131,0.47,12.24,4.14,0.14,0.43,0.66,1.25,1.37,1.27,1.37,,1.33,312,380,415,448,470,490,529,555,588,656,707,740,763,798,848,898,946,993,1033,1082,1127,1170,1222,1264,1298,1325,1367,1416,1438,1468,1513,1561,1610,1649,1689,1742,1767
"rapidsai/cuml","cuML - RAPIDS Machine Learning Library ",837.2,8,,1886,137,0.5,11.95,4.13,,0.57,1.05,1.99,2.3,2.35,2.19,,2.25,0,0,0,0,0,0,0,0,0,98,203,255,286,316,375,468,522,556,591,646,700,749,864,990,1026,1122,1176,1250,1332,1400,1463,1545,1628,1699,1786,1850,1900
"YunYang1994/tensorflow-yolov3","🔥 TensorFlow Code for technical report: ""YOLOv3: An Incremental Improvement""",794.6,19.4,,3261,197,0.71,9.94,4.13,0.29,1.14,1.28,1.79,2.03,3.08,4.13,,4.15,0,0,0,0,0,0,0,0,0,0,0,57,249,336,509,673,816,987,1197,1369,1526,1672,1863,2029,2139,2249,2419,2562,2693,2804,2893,2968,3032,3100,3167,3224,3275
"XiaoMi/mace","MACE is a deep learning inference framework optimized for mobile heterogeneous computing platforms.",943.7,13.8,,4267,235,0.85,9.06,4.12,,0.21,0.82,1.81,1.54,1.66,1.96,,4.53,0,0,0,0,0,0,2109,2265,2377,2469,2573,2742,2837,2911,3007,3089,3167,3233,3295,3356,3411,3464,3561,3621,3661,3685,3729,3771,3840,3909,3986,4023,4057,4103,4189,4242,4272
"fighting41love/funNLP","中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名...",888.4,34,,27998,822,2.97,4.83,4.11,,14.93,21.63,28.95,31.12,32.73,33.02,,31.54,0,0,0,0,0,0,0,2,18,57,2135,2691,3865,5092,5948,6868,7983,9135,10395,11492,12430,13247,14189,15309,16026,16628,17833,19186,20309,21348,22294,23221,24505,25331,26277,27316,28210
"RangiLyu/nanodet","⚡Super fast and lightweight anchor-free object detection model. 🔥Only 1.8mb and run 97FPS on cellphone🔥",98.5,8.4,,2076,145,0.52,11.49,4.11,0.71,3.86,4.5,,,,,,32.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,1944,2139
"NVIDIA/tacotron2","Tacotron 2 - PyTorch implementation with faster-than-realtime inference",998.1,40.4,,2411,160,0.58,10.92,4.1,,1.5,1.58,2.2,2.61,2.88,2.4,,2.42,0,0,0,0,248,327,383,425,448,476,522,609,657,698,749,803,854,908,955,1028,1079,1138,1222,1289,1360,1409,1476,1620,1729,1833,1933,2049,2127,2210,2292,2363,2446
"rougier/numpy-100","100 numpy exercises (with solutions)",2435.7,20.5,,6225,301,1.09,7.95,4.1,,3.5,5.98,4.94,4.55,4.53,5.41,3.28,2.56,1307,1354,1573,1676,1742,1819,1888,1957,2015,2075,2134,2204,2274,2347,2699,2963,3219,3374,3570,3794,3981,4146,4306,4450,4569,4718,4843,4985,5163,5279,5392,5500,5644,5771,5896,6040,6265
"Unity-Technologies/ml-agents","Unity Machine Learning Agents Toolkit",1235,9.1,,10244,419,1.51,6.73,4.09,,5.36,7,7.23,6.84,7.62,7.61,,8.34,1790,2029,2341,2649,2867,3079,3307,3507,3751,4012,4216,4449,4682,4923,5156,5406,5623,5804,6159,6336,6570,6832,7041,7286,7459,7646,7844,8057,8551,8846,8991,9181,9395,9580,9761,10027,10424
"networkx/networkx","Network Analysis in Python",3794.8,9.5,,8505,369,1.33,7.14,4.08,,2.79,3.62,5.01,4.92,5.03,4.82,3.71,2.24,3615,3722,3847,3949,4055,4156,4273,4398,4521,4638,4734,4859,4985,5087,5260,5425,5560,5699,5829,5977,6100,6255,6405,6544,6663,6805,6930,7103,7275,7430,7604,7741,7896,8043,8236,8390,8542
"gaoxiang12/slambook","",1673.6,35.8,,4426,238,0.86,8.85,4.07,0.14,1.5,2.1,2.58,2.6,2.57,3.23,,2.65,985,1032,1130,1221,1302,1376,1453,1537,1625,1730,1838,1956,2066,2143,2285,2420,2554,2705,2856,3006,3128,3226,3329,3432,3490,3551,3635,3700,3793,3868,3952,4028,4120,4191,4283,4363,4440
"NervanaSystems/neon","Intel® Nervana™ reference deep learning framework committed to best performance on all hardware",2293.8,33.8,,3852,217,0.78,9.27,4.07,,,0.07,0.18,0.15,0.23,0.34,1.37,1.77,3225,3253,3291,3326,3383,3433,3462,3485,3514,3537,3561,3584,3607,3621,3645,3665,3683,3689,3700,3710,3721,3730,3742,3757,3767,3779,3790,3800,3808,3815,3825,3829,3833,3836,3845,3850,3854
"virgili0/Virgilio","Your new Mentor for Data Science E-Learning.",685.1,8,,12935,485,1.75,6.17,4.06,,0.79,1.64,1.74,2.03,2.7,,,18.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5498,9361,9982,10296,10983,11187,11352,11480,11631,11806,11948,12071,12193,12288,12376,12484,12561,12637,12716,12774,12821,12882,12965
"mozilla/DeepSpeech","DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers.",1698.3,13.1,,16320,566,2.05,5.7,4.05,,4,6.94,9.57,10.31,10.01,10.32,,9.61,5191,5549,5909,6179,6479,6802,7048,7287,7669,7919,8190,8511,8783,9069,9442,9750,9981,10218,10487,10734,10980,11262,11544,12337,12662,12979,13247,13543,13884,14150,14432,14814,15142,15442,15824,16103,16373
"amusi/awesome-lane-detection","A paper list of lane detection.",761.5,18.4,,1607,120,0.43,12.28,4.03,,1.07,1.35,1.57,1.72,1.68,1.91,,2.11,0,0,0,0,0,0,0,0,0,0,0,4,212,255,347,437,513,580,656,713,773,821,873,942,992,1022,1064,1128,1186,1230,1292,1350,1428,1464,1516,1565,1619
"ujjwalkarn/Machine-Learning-Tutorials","machine learning and deep learning tutorials, articles and other resources ",1962.3,37.5,,10980,432,1.56,6.47,4.03,,1.43,2.86,3.19,3.45,3.56,3.78,5.08,5.67,5958,6377,6595,6793,6975,7170,7319,7468,7609,7764,7936,8056,8220,8349,8485,8609,8737,8873,9012,9108,9228,9348,9459,9585,9681,9794,9895,10023,10141,10262,10353,10492,10572,10691,10797,10894,11012
"ankush-me/SynthText","Code for generating synthetic text images as described in ""Synthetic Data for Text Localisation in Natural Images"", Ankush Gupta, Andrea Vedaldi, Andrew Zisserman, CVPR 2016.",1597,13.4,,1529,116,0.42,12.48,4.03,,0.29,0.39,0.68,0.63,0.77,1,,0.96,357,373,407,448,496,529,574,602,654,691,724,756,797,819,859,896,938,978,1016,1056,1102,1128,1168,1207,1248,1274,1302,1328,1357,1385,1413,1433,1452,1466,1492,1516,1537
"Maratyszcza/NNPACK","Acceleration package for neural networks on multi-core CPUs",1771.1,34.8,,1491,114,0.41,12.58,4.02,,0.07,0.26,0.32,0.3,0.33,0.39,,0.84,963,985,1007,1025,1044,1072,1096,1119,1130,1136,1160,1180,1202,1218,1236,1249,1260,1277,1295,1306,1317,1331,1343,1355,1370,1377,1389,1406,1414,1423,1435,1446,1455,1462,1471,1483,1495
"allegroai/clearml","ClearML - Auto-Magical Suite of tools to streamline your ML workflow. Experiment Manager, ML-Ops and Data-Management",595.5,12.3,,2105,143,0.52,11.17,4.01,,1,2.4,2.88,2.77,2.84,,,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,724,809,831,911,976,1006,1067,1170,1210,1246,1293,1367,1599,1669,1763,1842,1961,2031,2148
"openvinotoolkit/openvino","OpenVINO™ Toolkit repository",833.4,8,,1852,131,0.47,11.64,4,0.86,1.64,1.58,2.22,2.2,2.42,2.06,,2.23,0,0,0,0,0,0,0,0,0,138,215,294,358,399,448,512,544,653,700,746,784,834,894,944,977,1017,1064,1109,1204,1378,1457,1521,1591,1656,1742,1811,1890
"microsoft/AirSim","Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research",1441.8,8.5,,11172,434,1.57,6.39,4,,3.07,3.72,4.23,4.49,5.11,6.32,,7.76,3884,4150,4369,4631,4797,5004,5175,5324,5465,5637,6021,6291,6554,6739,6934,7140,7365,7525,7698,7839,8655,8867,9025,9158,9301,9424,9555,9730,9994,10162,10348,10500,10647,10781,10902,11054,11243
"seungeunrho/minimalRL","Implementations of basic RL algorithms with minimal lines of codes! (pytorch based)",643.4,37.8,,1686,123,0.44,12,4,,1.29,1.32,1.49,1.35,1.14,,,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,970,1063,1101,1142,1171,1212,1239,1270,1287,1325,1351,1376,1417,1440,1495,1524,1549,1591,1646,1705
"lyhue1991/eat_pytorch_in_20_days","Pytorch🍊🍉   is delicious, just eat it! 😋😋",212.5,8.8,,2026,139,0.5,11.29,4,,2.21,2.73,3.15,10.14,,,,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,805,1391,1736,1832,1940,2056
"FudanNLP/nlp-beginner","NLP上手教程",1398.2,21.6,,3568,202,0.73,9.31,3.99,,0.79,2.1,2.56,2.39,3.13,4.68,,2.55,28,34,63,71,74,80,91,99,114,122,134,143,149,154,163,175,1150,1396,1668,1837,1970,2072,2230,2340,2425,2478,2561,2686,2943,3046,3130,3188,3258,3332,3429,3502,3591
"OAID/Tengine","Tengine is a lite, high performance, modular inference engine for embedded device ",1122.8,8.8,,2461,157,0.57,10.49,3.97,0.43,2.93,3.52,8.28,5.41,3.99,2.84,,2.2,57,69,76,82,87,112,141,166,211,258,302,340,388,421,470,533,634,680,751,806,864,898,931,977,1009,1020,1095,1172,1243,1299,1476,1543,1608,1707,1947,2357,2517
"taichi-dev/taichi","Productive & portable programming language for high-performance, sparse & differentiable computing on CPUs & GPUs",1523.5,8.1,,12791,471,1.7,6.06,3.97,,1.64,2.6,4.58,7.15,8.98,15.67,,8.48,816,839,860,880,916,939,957,1032,1106,1148,1198,1227,1348,1377,1463,1487,2617,2851,3172,3228,3266,3348,3474,3591,9511,10004,10212,10416,10725,11306,11482,11932,12169,12369,12549,12708,12815
"intel-isl/Open3D","Open3D: A Modern Library for 3D Data Processing",1515.2,8.1,,3910,214,0.77,9,3.97,,2.71,3.81,4.61,4.32,4.22,3.76,,3.58,0,386,453,499,600,667,731,801,873,937,1020,1088,1162,1238,1320,1410,1512,1610,1707,1806,1924,2037,2172,2287,2365,2460,2578,2693,2827,2973,3117,3236,3375,3486,3633,3790,3949
"facebookresearch/dlrm","An implementation of a deep learning recommendation model (DLRM)",622.8,14.3,,2487,158,0.57,10.45,3.97,,0.29,0.66,1.01,1.35,1.91,,,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1187,1270,1360,1470,1574,1695,1790,1886,1947,2041,2113,2177,2241,2296,2351,2394,2430,2466,2496
"google/youtube-8m","Starter code for working with the YouTube-8M dataset.",1497,33.7,,2009,137,0.5,11.22,3.96,,0.07,0.3,0.48,0.47,0.48,0.89,,1.34,789,817,856,891,998,1113,1182,1222,1255,1281,1307,1342,1362,1392,1420,1450,1487,1530,1619,1671,1736,1763,1786,1811,1833,1845,1857,1869,1888,1911,1924,1938,1955,1966,1987,2000,2013
"openimages/dataset","The Open Images dataset",1579.6,33.6,,3889,212,0.77,8.97,3.95,0.14,0.43,0.62,0.73,0.56,0.64,0.83,,2.47,2560,2643,2735,2888,2968,3009,3067,3096,3146,3187,3230,3263,3288,3327,3367,3410,3449,3488,3518,3545,3561,3590,3607,3634,3656,3683,3712,3729,3745,3762,3787,3806,3814,3823,3846,3871,3896
"huihut/interview","📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, incl...",1081.5,40.5,,16382,551,1.99,5.53,3.94,,7.21,12.36,15.32,17.72,20.85,19.3,,15.5,0,0,11,115,178,232,311,464,688,1221,1691,2041,2283,2789,3718,4513,5085,5502,6005,6558,7159,7690,8083,8464,8760,9037,9833,11079,11874,12483,13137,13852,14516,14974,15478,15995,16424
"wookayin/gpustat","📊 A simple command-line utility for querying and monitoring GPU status",1737.4,12.7,,2181,144,0.52,10.86,3.94,,0.79,1.12,1.63,1.62,1.68,1.59,,1.26,562,606,652,701,739,768,793,832,873,911,951,989,1017,1065,1123,1168,1218,1268,1312,1359,1398,1433,1493,1534,1567,1597,1650,1699,1779,1839,1886,1933,1988,2033,2099,2147,2193
"ThilinaRajapakse/simpletransformers","Transformers for Classification, NER, QA, Language Modelling, Language Generation, T5, Multi-Modal, and Conversational AI",479.6,13.2,,1987,135,0.49,11.18,3.94,,1.57,2.89,3.74,3.99,4.29,,,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,177,300,420,524,621,756,956,1126,1259,1390,1524,1646,1775,1899,2056
"xinntao/ESRGAN","ECCV18 Workshops - Enhanced SRGAN. Champion PIRM Challenge on Perceptual Super-Resolution. The training codes are in BasicSR.",878.5,20.1,,3211,185,0.67,9.48,3.92,0.43,1.29,1.87,2.33,2.68,2.97,3.32,,3.67,0,0,0,0,0,0,0,0,123,168,199,430,795,1030,1186,1373,1504,1606,1709,1801,1870,1932,2003,2070,2133,2237,2329,2404,2544,2648,2728,2799,2908,3004,3088,3161,3243
"apachecn/Interview","Interview = 简历指南 + LeetCode + Kaggle",1200.5,23.4,,6736,303,1.1,7.4,3.91,,0.79,1.32,1.95,2.96,4.52,6.6,,5.62,160,230,338,480,633,748,952,1091,1311,1469,1637,1786,1917,2042,2244,2469,2724,2910,3302,3717,4086,4363,4622,4863,5081,5268,5473,5671,5874,6038,6192,6350,6483,6554,6625,6693,6749
"wzhe06/Ad-papers","Papers on Computational Advertising",1632.5,33.9,,2930,173,0.63,9.71,3.89,,0.71,1.38,1.76,1.86,2.18,2.59,,1.79,258,288,351,421,488,548,601,663,748,810,871,946,1035,1115,1254,1373,1469,1542,1651,1728,1834,1908,1995,2068,2135,2175,2236,2329,2432,2516,2590,2666,2726,2768,2824,2886,2948
"facebookresearch/SentEval","A python tool for evaluating the quality of sentence embeddings.",1348,26,,1486,110,0.4,12.18,3.89,,0.21,0.56,0.62,0.66,0.65,0.79,,1.14,402,421,448,485,542,585,627,675,727,763,811,868,905,957,992,1028,1055,1082,1104,1120,1142,1171,1204,1228,1249,1264,1283,1309,1332,1354,1365,1386,1412,1428,1446,1468,1494
"plotly/dash","Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",2117.8,10.1,,13703,482,1.74,5.79,3.88,,3.71,4.57,7.29,7.41,8.57,8.69,7.47,6.48,3557,3883,4237,4511,4776,5044,5306,5587,5907,6231,6589,7056,7364,7712,8073,8484,8739,8971,9207,9432,9627,9828,10138,10346,10582,10793,11024,11540,11848,12102,12358,12636,12839,13045,13325,13570,13792
"modin-project/modin","Modin: Speed up your Pandas workflows by changing a single line of code",949,9,,5621,266,0.96,7.78,3.88,,1.21,2.27,2.78,3.33,4.2,6.39,,5.92,0,0,0,0,0,8,145,327,357,472,773,876,949,1211,1375,1980,2152,2314,2414,2525,2673,2776,3480,3827,4082,4251,4469,4590,4744,4873,5008,5139,5255,5362,5461,5546,5640
"deepmind/open_spiel","OpenSpiel is a collection of environments and algorithms for research in general reinforcement learning and search/planning in games.",553.3,10.3,,2546,157,0.57,10.14,3.88,,1,1.58,1.94,1.59,1.85,,,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1475,1622,1726,1811,1871,1939,1993,2064,2129,2207,2253,2288,2327,2368,2401,2496,2560
"PointCloudLibrary/pcl","Point Cloud Library (PCL)",2904.2,8,,5850,272,0.98,7.65,3.86,0.43,2.21,2.66,3.27,3.35,3.61,3.61,2.73,2.02,2111,2164,2260,2361,2445,2530,2611,2696,2795,2896,3004,3118,3219,3308,3416,3542,3671,3777,3911,3999,4100,4197,4324,4459,4536,4629,4726,4837,4999,5122,5242,5351,5451,5555,5660,5772,5881
"google/python-fire","Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.",1434,12.5,,18526,586,2.12,5.2,3.86,,2.5,4.18,7.72,7.27,7.28,7.85,,12.92,7788,8105,8416,8675,8858,9110,9381,11335,11738,11994,12346,12597,12789,12988,13288,13531,13713,13918,14149,14515,14948,15176,15382,15677,15865,16048,16263,16455,16773,17043,17195,17455,17595,17817,18153,18394,18579
"CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers","aka ""Bayesian Methods for Hackers"": An introduction to Bayesian methods + probabilistic programming with a computation/understanding-first, mathematics-second point of view. All in pure Python ;)  ",2933.2,21,,22435,665,2.4,4.88,3.85,,2.86,4.8,5.35,5.51,6.62,8.09,7.52,7.65,13415,13678,14073,14330,14516,14745,14938,15175,15406,15645,15918,16275,16523,16784,17090,17362,17649,17887,18478,18700,18905,19146,19330,19516,20012,20184,20516,20793,21025,21208,21422,21572,21761,21939,22093,22281,22465
"endymecy/awesome-deeplearning-resources","Deep Learning and deep reinforcement learning research papers and some codes",1519.6,13.6,,2353,148,0.53,10.35,3.85,,0.21,0.36,0.56,0.58,0.76,0.91,,1.55,1053,1091,1162,1222,1281,1337,1411,1454,1489,1541,1594,1647,1686,1718,1761,1799,1835,1871,1905,1931,1961,1999,2025,2049,2075,2102,2132,2159,2187,2216,2245,2259,2282,2300,2317,2339,2356
"hongleizhang/RSPapers","Must-read papers on Recommender System.",1091.3,21.8,,3050,175,0.63,9.44,3.83,,2,3.95,3.87,3.85,3.4,3.26,,2.8,0,1,1,2,2,65,116,156,300,380,454,570,670,752,872,1012,1142,1241,1353,1417,1488,1563,1660,1737,1809,1869,1964,2054,2131,2213,2347,2467,2582,2696,2809,2929,3090
"JiahuiYu/generative_inpainting","DeepFill v1/v2 with Contextual Attention and Gated Convolution, CVPR 2018, and ICCV 2019 Oral",1097.6,13.6,,2263,143,0.52,10.39,3.82,,0.71,1.18,1.59,2.14,2.33,2.25,,2.06,14,44,61,115,166,231,300,340,392,444,509,564,618,667,738,795,856,905,979,1032,1091,1132,1258,1344,1413,1484,1627,1700,1756,1819,1871,1926,2054,2117,2179,2226,2274
"bokeh/bokeh","Interactive Data Visualization in the browser, from  Python",3227.2,7.8,,14531,493,1.78,5.58,3.81,,2,3.65,5.06,4.76,5.5,8.09,6.09,4.5,6795,6942,7086,7246,7374,7506,7652,7786,7897,8052,8238,8467,8619,8759,8944,9083,9241,9471,10771,11075,11338,11620,11983,12335,12519,12697,12900,13099,13306,13503,13656,13791,13940,14064,14248,14415,14608
"attardi/wikiextractor","A tool for extracting plain text from Wikipedia dumps",2136.4,27,,2495,152,0.55,10.02,3.81,,0.43,0.76,1.33,1.41,1.55,1.74,1.32,1.17,700,741,779,836,872,904,944,981,1011,1047,1126,1183,1227,1280,1347,1400,1465,1514,1561,1661,1710,1767,1837,1893,1931,1971,2036,2082,2135,2182,2239,2285,2345,2376,2427,2473,2509
"facebookresearch/ELF","An End-To-End, Lightweight and Flexible Platform for Game Research",1329.9,25.7,,2014,132,0.48,10.78,3.81,,,0.23,0.18,0.17,0.24,0.32,,1.55,1311,1353,1388,1414,1605,1642,1654,1687,1702,1723,1750,1761,1778,1802,1815,1831,1841,1854,1865,1877,1889,1902,1909,1921,1928,1940,1947,1951,1963,1979,1983,1990,1994,1998,1999,2006,2021
"EthicalML/awesome-production-machine-learning","A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning",894.3,8,,7582,318,1.15,6.9,3.8,,3.29,7.63,9.13,15.98,13.85,10.14,,8.64,0,0,0,0,0,0,0,0,31,41,80,113,175,304,377,466,587,671,1270,1706,1915,2093,2254,2406,2519,2774,2997,3259,3443,3619,4658,5758,6487,6742,7052,7342,7631
"Trusted-AI/adversarial-robustness-toolbox","Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference",1047.3,9.9,,1959,129,0.47,10.83,3.8,,1.21,1.58,2.02,1.91,2.14,1.95,,1.89,0,0,8,108,203,231,267,338,387,435,461,497,539,575,622,685,726,782,831,884,940,992,1078,1135,1180,1254,1307,1371,1465,1528,1610,1669,1720,1775,1836,1911,1970
"tensorflow/agents","TF-Agents is a library for Reinforcement Learning in TensorFlow",800.9,8.2,,1762,120,0.43,11.2,3.79,,0.79,1.12,1.46,1.48,1.8,2.27,,2.25,0,0,0,0,0,0,0,0,0,0,0,74,103,125,337,435,557,622,722,780,850,920,981,1046,1104,1151,1227,1303,1363,1426,1490,1543,1588,1627,1679,1726,1776
"openai/retro","Retro Games in Gym",1083.9,41.2,,2336,145,0.52,10.21,3.79,,0.43,0.79,1.08,1.16,1.22,1.36,,2.28,0,0,0,401,694,883,998,1062,1135,1171,1240,1287,1342,1399,1488,1553,1596,1639,1682,1710,1736,1775,1824,1856,1892,1929,1970,2005,2044,2080,2125,2167,2203,2237,2273,2312,2344
"tesseract-ocr/tesseract","Tesseract Open Source OCR Engine (main repository)",2358.1,10,,38252,928,3.35,3.99,3.77,,9.07,13.28,15.7,15.79,16.66,20.56,19.58,16.23,15197,15722,16473,17208,17866,18572,19227,19843,20544,21162,21878,22509,23248,24010,24913,25709,26573,27263,28074,28766,29435,30102,30774,31548,32176,32669,33161,33711,34267,34811,35377,35866,36327,36826,37297,37855,38375
"PaddlePaddle/Paddle-Lite","Multi-platform high performance  deep learning inference engine (『飞桨』多平台高性能深度学习预测引擎）",1223.4,8,,5350,250,0.9,7.69,3.77,,0.29,0.92,1.81,1.73,1.81,1.83,,4.38,3346,3417,3543,3628,3676,3714,3775,3805,3849,3878,3932,3974,4017,4044,4076,4120,4162,4232,4311,4446,4504,4550,4608,4665,4689,4745,4808,4866,4911,4975,5034,5081,5138,5186,5252,5322,5356
"JunMa11/SegLoss","A collection of loss functions for medical image segmentation",606.2,41.3,,1647,114,0.41,11.39,3.77,0.43,2.14,2.99,3.38,3.21,3.47,,,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,106,146,212,269,338,384,429,557,651,747,929,1064,1167,1260,1341,1455,1558,1669
"probml/pyprobml","Python code for ""Machine learning: a probabilistic perspective"" (2nd edition)",1622.2,9.8,,2795,162,0.59,9.53,3.76,,5.86,33.83,12.72,6.84,3.99,3.17,,1.72,307,317,335,353,371,379,391,400,414,432,450,467,476,488,509,539,557,570,593,614,641,1038,1254,1296,1330,1379,1421,1456,1486,1512,1539,1564,1594,1626,1704,1758,2875
